Segment,Country, Product , Discount Band ,Units Sold, Manufacturing Price , Sale Price , Gross Sales , Discounts , Sales , COGS , Profit ,Date,Month Number, Month Name ,Year,,
Government,Germany, Montana , Low ,1958, $5.00 , $7.00 ," $13,706.00 ", $411.18 ," $13,294.82 "," $9,790.00 "," $3,504.82 ",2/1/2014,2, February ,2014,,
Channel Partners,France, Montana , Low ,1901, $5.00 , $12.00 ," $22,812.00 ", $684.36 ," $22,127.64 "," $9,505.00 "," $12,622.64 ",6/1/2014,6, June ,2014,,
Government,France, Montana , Low ,544, $5.00 , $7.00 ," $3,808.00 ", $114.24 ," $3,693.76 "," $2,720.00 ", $973.76 ,9/1/2014,9, September ,2014,,
Government,Germany, Montana , Low ,1797, $5.00 , $350.00 ," $628,950.00 "," $18,868.50 "," $610,081.50 "," $8,985.00 "," $601,096.50 ",9/1/2013,9, September ,2013,,
Enterprise,France, Montana , Low ,1287, $5.00 , $125.00 ," $160,875.00 "," $4,826.25 "," $156,048.75 "," $6,435.00 "," $149,613.75 ",12/1/2014,12, December ,2014,,
Enterprise,Germany, Montana , Low ,1706, $5.00 , $125.00 ," $213,250.00 "," $6,397.50 "," $206,852.50 "," $8,530.00 "," $198,322.50 ",12/1/2014,12, December ,2014,,
Small Business,France, Paseo , Low ,2434.5, $10.00 , $300.00 ," $730,350.00 "," $21,910.50 "," $708,439.50 "," $24,345.00 "," $684,094.50 ",1/1/2014,1, January ,2014,,
Enterprise,Canada, Paseo , Low ,1774, $10.00 , $125.00 ," $221,750.00 "," $6,652.50 "," $215,097.50 "," $17,740.00 "," $197,357.50 ",3/1/2014,3, March ,2014,,
Channel Partners,France, Paseo , Low ,1901, $10.00 , $12.00 ," $22,812.00 ", $684.36 ," $22,127.64 "," $19,010.00 "," $3,117.64 ",6/1/2014,6, June ,2014,,
Small Business,Germany, Paseo , Low ,689, $10.00 , $300.00 ," $206,700.00 "," $6,201.00 "," $200,499.00 "," $6,890.00 "," $193,609.00 ",6/1/2014,6, June ,2014,,
Enterprise,Germany, Paseo , Low ,1570, $10.00 , $125.00 ," $196,250.00 "," $5,887.50 "," $190,362.50 "," $15,700.00 "," $174,662.50 ",6/1/2014,6, June ,2014,,
Channel Partners,USA, Paseo , Low ,1369.5, $10.00 , $12.00 ," $16,434.00 ", $493.02 ," $15,940.98 "," $13,695.00 "," $2,245.98 ",7/1/2014,7, July ,2014,,
Enterprise,Canada, Paseo , Low ,2009, $10.00 , $125.00 ," $251,125.00 "," $7,533.75 "," $243,591.25 "," $20,090.00 "," $223,501.25 ",10/1/2014,10, October ,2014,,
Midmarket,Germany, Paseo , Low ,1945, $10.00 , $15.00 ," $29,175.00 ", $875.25 ," $28,299.75 "," $19,450.00 "," $8,849.75 ",10/1/2013,10, October ,2013,,
Enterprise,France, Paseo , Low ,1287, $10.00 , $125.00 ," $160,875.00 "," $4,826.25 "," $156,048.75 "," $12,870.00 "," $143,178.75 ",12/1/2014,12, December ,2014,,
Enterprise,Germany, Paseo , Low ,1706, $10.00 , $125.00 ," $213,250.00 "," $6,397.50 "," $206,852.50 "," $17,060.00 "," $189,792.50 ",12/1/2014,12, December ,2014,,
Enterprise,Canada, Velo , Low ,2009, $120.00 , $125.00 ," $251,125.00 "," $7,533.75 "," $243,591.25 "," $241,080.00 "," $2,511.25 ",10/1/2014,10, October ,2014,,
Small Business,USA, VTT , Low ,2844, $250.00 , $300.00 ," $853,200.00 "," $25,596.00 "," $827,604.00 "," $711,000.00 "," $116,604.00 ",2/1/2014,2, February ,2014,,
Channel Partners,Mexico, VTT , Low ,1916, $250.00 , $12.00 ," $22,992.00 ", $689.76 ," $22,302.24 "," $479,000.00 "," $(456,697.76)",4/1/2014,4, April ,2014,,
Enterprise,Germany, VTT , Low ,1570, $250.00 , $125.00 ," $196,250.00 "," $5,887.50 "," $190,362.50 "," $392,500.00 "," $(202,137.50)",6/1/2014,6, June ,2014,,
Small Business,Canada, VTT , Low ,1874, $250.00 , $300.00 ," $562,200.00 "," $16,866.00 "," $545,334.00 "," $468,500.00 "," $76,834.00 ",8/1/2014,8, August ,2014,,
Government,Mexico, VTT , Low ,1642, $250.00 , $350.00 ," $574,700.00 "," $17,241.00 "," $557,459.00 "," $410,500.00 "," $146,959.00 ",8/1/2014,8, August ,2014,,
Midmarket,Germany, VTT , Low ,1945, $250.00 , $15.00 ," $29,175.00 ", $875.25 ," $28,299.75 "," $486,250.00 "," $(457,950.25)",10/1/2013,10, October ,2013,,
Government,Canada, Carretera , Low ,831, $3.00 , $20.00 ," $16,620.00 ", $498.60 ," $16,121.40 "," $2,493.00 "," $13,628.40 ",5/1/2014,5, May ,2014,,
Government,Mexico, Paseo , Low ,1760, $10.00 , $7.00 ," $12,320.00 ", $369.60 ," $11,950.40 "," $17,600.00 "," $(5,649.60)",9/1/2013,9, September ,2013,,
Government,Canada, Velo , Low ,3850.5, $120.00 , $20.00 ," $77,010.00 "," $2,310.30 "," $74,699.70 "," $462,060.00 "," $(387,360.30)",4/1/2014,4, April ,2014,,
Channel Partners,Germany, VTT , Low ,2479, $250.00 , $12.00 ," $29,748.00 ", $892.44 ," $28,855.56 "," $619,750.00 "," $(590,894.44)",1/1/2014,1, January ,2014,,
Midmarket,Mexico, Montana , Low ,2031, $5.00 , $15.00 ," $30,465.00 "," $1,218.60 "," $29,246.40 "," $10,155.00 "," $19,091.40 ",10/1/2014,10, October ,2014,,
Midmarket,Mexico, Paseo , Low ,2031, $10.00 , $15.00 ," $30,465.00 "," $1,218.60 "," $29,246.40 "," $20,310.00 "," $8,936.40 ",10/1/2014,10, October ,2014,,
Midmarket,France, Paseo , Low ,2261, $10.00 , $15.00 ," $33,915.00 "," $1,356.60 "," $32,558.40 "," $22,610.00 "," $9,948.40 ",12/1/2013,12, December ,2013,,
Government,USA, Velo , Low ,736, $120.00 , $20.00 ," $14,720.00 ", $588.80 ," $14,131.20 "," $88,320.00 "," $(74,188.80)",9/1/2013,9, September ,2013,,
Government,Canada, Carretera , Low ,2851, $3.00 , $7.00 ," $19,957.00 ", $798.28 ," $19,158.72 "," $8,553.00 "," $10,605.72 ",10/1/2013,10, October ,2013,,
Small Business,Germany, Carretera , Low ,2021, $3.00 , $300.00 ," $606,300.00 "," $24,252.00 "," $582,048.00 "," $6,063.00 "," $575,985.00 ",10/1/2014,10, October ,2014,,
Government,USA, Carretera , Low ,274, $3.00 , $350.00 ," $95,900.00 "," $3,836.00 "," $92,064.00 ", $822.00 ," $91,242.00 ",12/1/2014,12, December ,2014,,
Midmarket,Canada, Montana , Low ,1967, $5.00 , $15.00 ," $29,505.00 "," $1,180.20 "," $28,324.80 "," $9,835.00 "," $18,489.80 ",3/1/2014,3, March ,2014,,
Small Business,Germany, Montana , Low ,1859, $5.00 , $300.00 ," $557,700.00 "," $22,308.00 "," $535,392.00 "," $9,295.00 "," $526,097.00 ",8/1/2014,8, August ,2014,,
Government,Canada, Montana , Low ,2851, $5.00 , $7.00 ," $19,957.00 ", $798.28 ," $19,158.72 "," $14,255.00 "," $4,903.72 ",10/1/2013,10, October ,2013,,
Small Business,Germany, Montana , Low ,2021, $5.00 , $300.00 ," $606,300.00 "," $24,252.00 "," $582,048.00 "," $10,105.00 "," $571,943.00 ",10/1/2014,10, October ,2014,,
Enterprise,Mexico, Montana , Low ,1138, $5.00 , $125.00 ," $142,250.00 "," $5,690.00 "," $136,560.00 "," $5,690.00 "," $130,870.00 ",12/1/2014,12, December ,2014,,
Government,Canada, Paseo , Low ,4251, $10.00 , $7.00 ," $29,757.00 "," $1,190.28 "," $28,566.72 "," $42,510.00 "," $(13,943.28)",1/1/2014,1, January ,2014,,
Enterprise,Germany, Paseo , Low ,795, $10.00 , $125.00 ," $99,375.00 "," $3,975.00 "," $95,400.00 "," $7,950.00 "," $87,450.00 ",3/1/2014,3, March ,2014,,
Small Business,Germany, Paseo , Low ,1414.5, $10.00 , $300.00 ," $424,350.00 "," $16,974.00 "," $407,376.00 "," $14,145.00 "," $393,231.00 ",4/1/2014,4, April ,2014,,
Small Business,USA, Paseo , Low ,2918, $10.00 , $300.00 ," $875,400.00 "," $35,016.00 "," $840,384.00 "," $29,180.00 "," $811,204.00 ",5/1/2014,5, May ,2014,,
Government,USA, Paseo , Low ,3450, $10.00 , $350.00 ," $1,207,500.00 "," $48,300.00 "," $1,159,200.00 "," $34,500.00 "," $1,124,700.00 ",7/1/2014,7, July ,2014,,
Enterprise,France, Paseo , Low ,2988, $10.00 , $125.00 ," $373,500.00 "," $14,940.00 "," $358,560.00 "," $29,880.00 "," $328,680.00 ",7/1/2014,7, July ,2014,,
Midmarket,Canada, Paseo , Low ,218, $10.00 , $15.00 ," $3,270.00 ", $130.80 ," $3,139.20 "," $2,180.00 ", $959.20 ,9/1/2014,9, September ,2014,,
Government,Canada, Paseo , Low ,2074, $10.00 , $20.00 ," $41,480.00 "," $1,659.20 "," $39,820.80 "," $20,740.00 "," $19,080.80 ",9/1/2014,9, September ,2014,,
Government,USA, Paseo , Low ,1056, $10.00 , $20.00 ," $21,120.00 ", $844.80 ," $20,275.20 "," $10,560.00 "," $9,715.20 ",9/1/2014,9, September ,2014,,
Midmarket,USA, Paseo , Low ,671, $10.00 , $15.00 ," $10,065.00 ", $402.60 ," $9,662.40 "," $6,710.00 "," $2,952.40 ",10/1/2013,10, October ,2013,,
Midmarket,Mexico, Paseo , Low ,1514, $10.00 , $15.00 ," $22,710.00 ", $908.40 ," $21,801.60 "," $15,140.00 "," $6,661.60 ",10/1/2013,10, October ,2013,,
Government,USA, Paseo , Low ,274, $10.00 , $350.00 ," $95,900.00 "," $3,836.00 "," $92,064.00 "," $2,740.00 "," $89,324.00 ",12/1/2014,12, December ,2014,,
Enterprise,Mexico, Paseo , Low ,1138, $10.00 , $125.00 ," $142,250.00 "," $5,690.00 "," $136,560.00 "," $11,380.00 "," $125,180.00 ",12/1/2014,12, December ,2014,,
Channel Partners,USA, Velo , Low ,1465, $120.00 , $12.00 ," $17,580.00 ", $703.20 ," $16,876.80 "," $175,800.00 "," $(158,923.20)",3/1/2014,3, March ,2014,,
Government,Canada, Velo , Low ,2646, $120.00 , $20.00 ," $52,920.00 "," $2,116.80 "," $50,803.20 "," $317,520.00 "," $(266,716.80)",9/1/2013,9, September ,2013,,
Government,France, Velo , Low ,2177, $120.00 , $350.00 ," $761,950.00 "," $30,478.00 "," $731,472.00 "," $261,240.00 "," $470,232.00 ",10/1/2014,10, October ,2014,,
Channel Partners,France, VTT , Low ,866, $250.00 , $12.00 ," $10,392.00 ", $415.68 ," $9,976.32 "," $216,500.00 "," $(206,523.68)",5/1/2014,5, May ,2014,,
Government,USA, VTT , Low ,349, $250.00 , $350.00 ," $122,150.00 "," $4,886.00 "," $117,264.00 "," $87,250.00 "," $30,014.00 ",9/1/2013,9, September ,2013,,
Government,France, VTT , Low ,2177, $250.00 , $350.00 ," $761,950.00 "," $30,478.00 "," $731,472.00 "," $544,250.00 "," $187,222.00 ",10/1/2014,10, October ,2014,,
Midmarket,Mexico, VTT , Low ,1514, $250.00 , $15.00 ," $22,710.00 ", $908.40 ," $21,801.60 "," $378,500.00 "," $(356,698.40)",10/1/2013,10, October ,2013,,
Government,Mexico, Amarilla , Low ,1865, $260.00 , $350.00 ," $652,750.00 "," $26,110.00 "," $626,640.00 "," $484,900.00 "," $141,740.00 ",2/1/2014,2, February ,2014,,
Enterprise,Mexico, Amarilla , Low ,1074, $260.00 , $125.00 ," $134,250.00 "," $5,370.00 "," $128,880.00 "," $279,240.00 "," $(150,360.00)",4/1/2014,4, April ,2014,,
Government,Germany, Amarilla , Low ,1907, $260.00 , $350.00 ," $667,450.00 "," $26,698.00 "," $640,752.00 "," $495,820.00 "," $144,932.00 ",9/1/2014,9, September ,2014,,
Midmarket,USA, Amarilla , Low ,671, $260.00 , $15.00 ," $10,065.00 ", $402.60 ," $9,662.40 "," $174,460.00 "," $(164,797.60)",10/1/2013,10, October ,2013,,
Government,Canada, Amarilla , Low ,1778, $260.00 , $350.00 ," $622,300.00 "," $24,892.00 "," $597,408.00 "," $462,280.00 "," $135,128.00 ",12/1/2013,12, December ,2013,,
Government,Germany, Montana , Medium ,1159, $5.00 , $7.00 ," $8,113.00 ", $405.65 ," $7,707.35 "," $5,795.00 "," $1,912.35 ",10/1/2013,10, October ,2013,,
Government,Germany, Paseo , Medium ,1372, $10.00 , $7.00 ," $9,604.00 ", $480.20 ," $9,123.80 "," $13,720.00 "," $(4,596.20)",1/1/2014,1, January ,2014,,
Government,Canada, Paseo , Medium ,2349, $10.00 , $7.00 ," $16,443.00 ", $822.15 ," $15,620.85 "," $23,490.00 "," $(7,869.15)",9/1/2013,9, September ,2013,,
Government,Mexico, Paseo , Medium ,2689, $10.00 , $7.00 ," $18,823.00 ", $941.15 ," $17,881.85 "," $26,890.00 "," $(9,008.15)",10/1/2014,10, October ,2014,,
Channel Partners,Canada, Paseo , Medium ,2431, $10.00 , $12.00 ," $29,172.00 "," $1,458.60 "," $27,713.40 "," $24,310.00 "," $3,403.40 ",12/1/2014,12, December ,2014,,
Channel Partners,Canada, Velo , Medium ,2431, $120.00 , $12.00 ," $29,172.00 "," $1,458.60 "," $27,713.40 "," $291,720.00 "," $(264,006.60)",12/1/2014,12, December ,2014,,
Government,Mexico, VTT , Medium ,2689, $250.00 , $7.00 ," $18,823.00 ", $941.15 ," $17,881.85 "," $672,250.00 "," $(654,368.15)",10/1/2014,10, October ,2014,,
Government,Mexico, Amarilla , Medium ,1683, $260.00 , $7.00 ," $11,781.00 ", $589.05 ," $11,191.95 "," $437,580.00 "," $(426,388.05)",7/1/2014,7, July ,2014,,
Channel Partners,Mexico, Amarilla , Medium ,1123, $260.00 , $12.00 ," $13,476.00 ", $673.80 ," $12,802.20 "," $291,980.00 "," $(279,177.80)",8/1/2014,8, August ,2014,,
Government,Germany, Amarilla , Medium ,1159, $260.00 , $7.00 ," $8,113.00 ", $405.65 ," $7,707.35 "," $301,340.00 "," $(293,632.65)",10/1/2013,10, October ,2013,,
Channel Partners,France, Carretera , Medium ,1865, $3.00 , $12.00 ," $22,380.00 "," $1,119.00 "," $21,261.00 "," $5,595.00 "," $15,666.00 ",2/1/2014,2, February ,2014,,
Channel Partners,Germany, Carretera , Medium ,1116, $3.00 , $12.00 ," $13,392.00 ", $669.60 ," $12,722.40 "," $3,348.00 "," $9,374.40 ",2/1/2014,2, February ,2014,,
Government,France, Carretera , Medium ,1563, $3.00 , $20.00 ," $31,260.00 "," $1,563.00 "," $29,697.00 "," $4,689.00 "," $25,008.00 ",5/1/2014,5, May ,2014,,
Small Business,USA, Carretera , Medium ,991, $3.00 , $300.00 ," $297,300.00 "," $14,865.00 "," $282,435.00 "," $2,973.00 "," $279,462.00 ",6/1/2014,6, June ,2014,,
Government,Germany, Carretera , Medium ,1016, $3.00 , $7.00 ," $7,112.00 ", $355.60 ," $6,756.40 "," $3,048.00 "," $3,708.40 ",11/1/2013,11, November ,2013,,
Midmarket,Mexico, Carretera , Medium ,2791, $3.00 , $15.00 ," $41,865.00 "," $2,093.25 "," $39,771.75 "," $8,373.00 "," $31,398.75 ",11/1/2014,11, November ,2014,,
Government,USA, Carretera , Medium ,570, $3.00 , $7.00 ," $3,990.00 ", $199.50 ," $3,790.50 "," $1,710.00 "," $2,080.50 ",12/1/2014,12, December ,2014,,
Government,France, Carretera , Medium ,2487, $3.00 , $7.00 ," $17,409.00 ", $870.45 ," $16,538.55 "," $7,461.00 "," $9,077.55 ",12/1/2014,12, December ,2014,,
Government,France, Montana , Medium ,1384.5, $5.00 , $350.00 ," $484,575.00 "," $24,228.75 "," $460,346.25 "," $6,922.50 "," $453,423.75 ",1/1/2014,1, January ,2014,,
Enterprise,USA, Montana , Medium ,3627, $5.00 , $125.00 ," $453,375.00 "," $22,668.75 "," $430,706.25 "," $18,135.00 "," $412,571.25 ",7/1/2014,7, July ,2014,,
Government,Mexico, Montana , Medium ,720, $5.00 , $350.00 ," $252,000.00 "," $12,600.00 "," $239,400.00 "," $3,600.00 "," $235,800.00 ",9/1/2013,9, September ,2013,,
Channel Partners,Germany, Montana , Medium ,2342, $5.00 , $12.00 ," $28,104.00 "," $1,405.20 "," $26,698.80 "," $11,710.00 "," $14,988.80 ",11/1/2014,11, November ,2014,,
Small Business,Mexico, Montana , Medium ,1100, $5.00 , $300.00 ," $330,000.00 "," $16,500.00 "," $313,500.00 "," $5,500.00 "," $308,000.00 ",12/1/2013,12, December ,2013,,
Government,France, Paseo , Medium ,1303, $10.00 , $20.00 ," $26,060.00 "," $1,303.00 "," $24,757.00 "," $13,030.00 "," $11,727.00 ",2/1/2014,2, February ,2014,,
Enterprise,USA, Paseo , Medium ,2992, $10.00 , $125.00 ," $374,000.00 "," $18,700.00 "," $355,300.00 "," $29,920.00 "," $325,380.00 ",3/1/2014,3, March ,2014,,
Enterprise,France, Paseo , Medium ,2385, $10.00 , $125.00 ," $298,125.00 "," $14,906.25 "," $283,218.75 "," $23,850.00 "," $259,368.75 ",3/1/2014,3, March ,2014,,
Small Business,Mexico, Paseo , Medium ,1607, $10.00 , $300.00 ," $482,100.00 "," $24,105.00 "," $457,995.00 "," $16,070.00 "," $441,925.00 ",4/1/2014,4, April ,2014,,
Government,USA, Paseo , Medium ,2327, $10.00 , $7.00 ," $16,289.00 ", $814.45 ," $15,474.55 "," $23,270.00 "," $(7,795.45)",5/1/2014,5, May ,2014,,
Small Business,USA, Paseo , Medium ,991, $10.00 , $300.00 ," $297,300.00 "," $14,865.00 "," $282,435.00 "," $9,910.00 "," $272,525.00 ",6/1/2014,6, June ,2014,,
Government,USA, Paseo , Medium ,602, $10.00 , $350.00 ," $210,700.00 "," $10,535.00 "," $200,165.00 "," $6,020.00 "," $194,145.00 ",6/1/2014,6, June ,2014,,
Midmarket,France, Paseo , Medium ,2620, $10.00 , $15.00 ," $39,300.00 "," $1,965.00 "," $37,335.00 "," $26,200.00 "," $11,135.00 ",9/1/2014,9, September ,2014,,
Government,Canada, Paseo , Medium ,1228, $10.00 , $350.00 ," $429,800.00 "," $21,490.00 "," $408,310.00 "," $12,280.00 "," $396,030.00 ",10/1/2013,10, October ,2013,,
Government,Canada, Paseo , Medium ,1389, $10.00 , $20.00 ," $27,780.00 "," $1,389.00 "," $26,391.00 "," $13,890.00 "," $12,501.00 ",10/1/2013,10, October ,2013,,
Enterprise,USA, Paseo , Medium ,861, $10.00 , $125.00 ," $107,625.00 "," $5,381.25 "," $102,243.75 "," $8,610.00 "," $93,633.75 ",10/1/2014,10, October ,2014,,
Enterprise,France, Paseo , Medium ,704, $10.00 , $125.00 ," $88,000.00 "," $4,400.00 "," $83,600.00 "," $7,040.00 "," $76,560.00 ",10/1/2013,10, October ,2013,,
Government,Canada, Paseo , Medium ,1802, $10.00 , $20.00 ," $36,040.00 "," $1,802.00 "," $34,238.00 "," $18,020.00 "," $16,218.00 ",12/1/2013,12, December ,2013,,
Government,USA, Paseo , Medium ,2663, $10.00 , $20.00 ," $53,260.00 "," $2,663.00 "," $50,597.00 "," $26,630.00 "," $23,967.00 ",12/1/2014,12, December ,2014,,
Government,France, Paseo , Medium ,2136, $10.00 , $7.00 ," $14,952.00 ", $747.60 ," $14,204.40 "," $21,360.00 "," $(7,155.60)",12/1/2013,12, December ,2013,,
Midmarket,Germany, Paseo , Medium ,2116, $10.00 , $15.00 ," $31,740.00 "," $1,587.00 "," $30,153.00 "," $21,160.00 "," $8,993.00 ",12/1/2013,12, December ,2013,,
Midmarket,USA, Velo , Medium ,555, $120.00 , $15.00 ," $8,325.00 ", $416.25 ," $7,908.75 "," $66,600.00 "," $(58,691.25)",1/1/2014,1, January ,2014,,
Midmarket,Mexico, Velo , Medium ,2861, $120.00 , $15.00 ," $42,915.00 "," $2,145.75 "," $40,769.25 "," $343,320.00 "," $(302,550.75)",1/1/2014,1, January ,2014,,
Enterprise,Germany, Velo , Medium ,807, $120.00 , $125.00 ," $100,875.00 "," $5,043.75 "," $95,831.25 "," $96,840.00 "," $(1,008.75)",2/1/2014,2, February ,2014,,
Government,USA, Velo , Medium ,602, $120.00 , $350.00 ," $210,700.00 "," $10,535.00 "," $200,165.00 "," $72,240.00 "," $127,925.00 ",6/1/2014,6, June ,2014,,
Government,USA, Velo , Medium ,2832, $120.00 , $20.00 ," $56,640.00 "," $2,832.00 "," $53,808.00 "," $339,840.00 "," $(286,032.00)",8/1/2014,8, August ,2014,,
Government,France, Velo , Medium ,1579, $120.00 , $20.00 ," $31,580.00 "," $1,579.00 "," $30,001.00 "," $189,480.00 "," $(159,479.00)",8/1/2014,8, August ,2014,,
Enterprise,USA, Velo , Medium ,861, $120.00 , $125.00 ," $107,625.00 "," $5,381.25 "," $102,243.75 "," $103,320.00 "," $(1,076.25)",10/1/2014,10, October ,2014,,
Enterprise,France, Velo , Medium ,704, $120.00 , $125.00 ," $88,000.00 "," $4,400.00 "," $83,600.00 "," $84,480.00 ", $(880.00),10/1/2013,10, October ,2013,,
Government,France, Velo , Medium ,1033, $120.00 , $20.00 ," $20,660.00 "," $1,033.00 "," $19,627.00 "," $123,960.00 "," $(104,333.00)",12/1/2013,12, December ,2013,,
Small Business,Germany, Velo , Medium ,1250, $120.00 , $300.00 ," $375,000.00 "," $18,750.00 "," $356,250.00 "," $150,000.00 "," $206,250.00 ",12/1/2014,12, December ,2014,,
Government,Canada, VTT , Medium ,1389, $250.00 , $20.00 ," $27,780.00 "," $1,389.00 "," $26,391.00 "," $347,250.00 "," $(320,859.00)",10/1/2013,10, October ,2013,,
Government,USA, VTT , Medium ,1265, $250.00 , $20.00 ," $25,300.00 "," $1,265.00 "," $24,035.00 "," $316,250.00 "," $(292,215.00)",11/1/2013,11, November ,2013,,
Government,Germany, VTT , Medium ,2297, $250.00 , $20.00 ," $45,940.00 "," $2,297.00 "," $43,643.00 "," $574,250.00 "," $(530,607.00)",11/1/2013,11, November ,2013,,
Government,USA, VTT , Medium ,2663, $250.00 , $20.00 ," $53,260.00 "," $2,663.00 "," $50,597.00 "," $665,750.00 "," $(615,153.00)",12/1/2014,12, December ,2014,,
Government,USA, VTT , Medium ,570, $250.00 , $7.00 ," $3,990.00 ", $199.50 ," $3,790.50 "," $142,500.00 "," $(138,709.50)",12/1/2014,12, December ,2014,,
Government,France, VTT , Medium ,2487, $250.00 , $7.00 ," $17,409.00 ", $870.45 ," $16,538.55 "," $621,750.00 "," $(605,211.45)",12/1/2014,12, December ,2014,,
Government,Germany, Amarilla , Medium ,1350, $260.00 , $350.00 ," $472,500.00 "," $23,625.00 "," $448,875.00 "," $351,000.00 "," $97,875.00 ",2/1/2014,2, February ,2014,,
Government,Canada, Amarilla , Medium ,552, $260.00 , $350.00 ," $193,200.00 "," $9,660.00 "," $183,540.00 "," $143,520.00 "," $40,020.00 ",8/1/2014,8, August ,2014,,
Government,Canada, Amarilla , Medium ,1228, $260.00 , $350.00 ," $429,800.00 "," $21,490.00 "," $408,310.00 "," $319,280.00 "," $89,030.00 ",10/1/2013,10, October ,2013,,
Small Business,Germany, Amarilla , Medium ,1250, $260.00 , $300.00 ," $375,000.00 "," $18,750.00 "," $356,250.00 "," $325,000.00 "," $31,250.00 ",12/1/2014,12, December ,2014,,
Midmarket,France, Paseo , Medium ,3801, $10.00 , $15.00 ," $57,015.00 "," $3,420.90 "," $53,594.10 "," $38,010.00 "," $15,584.10 ",4/1/2014,4, April ,2014,,
Government,USA, Carretera , Medium ,1117.5, $3.00 , $20.00 ," $22,350.00 "," $1,341.00 "," $21,009.00 "," $3,352.50 "," $17,656.50 ",1/1/2014,1, January ,2014,,
Midmarket,Canada, Carretera , Medium ,2844, $3.00 , $15.00 ," $42,660.00 "," $2,559.60 "," $40,100.40 "," $8,532.00 "," $31,568.40 ",6/1/2014,6, June ,2014,,
Channel Partners,Mexico, Carretera , Medium ,562, $3.00 , $12.00 ," $6,744.00 ", $404.64 ," $6,339.36 "," $1,686.00 "," $4,653.36 ",9/1/2014,9, September ,2014,,
Channel Partners,Canada, Carretera , Medium ,2299, $3.00 , $12.00 ," $27,588.00 "," $1,655.28 "," $25,932.72 "," $6,897.00 "," $19,035.72 ",10/1/2013,10, October ,2013,,
Midmarket,USA, Carretera , Medium ,2030, $3.00 , $15.00 ," $30,450.00 "," $1,827.00 "," $28,623.00 "," $6,090.00 "," $22,533.00 ",11/1/2014,11, November ,2014,,
Government,USA, Carretera , Medium ,263, $3.00 , $7.00 ," $1,841.00 ", $110.46 ," $1,730.54 ", $789.00 , $941.54 ,11/1/2013,11, November ,2013,,
Enterprise,Germany, Carretera , Medium ,887, $3.00 , $125.00 ," $110,875.00 "," $6,652.50 "," $104,222.50 "," $2,661.00 "," $101,561.50 ",12/1/2013,12, December ,2013,,
Government,Mexico, Montana , Medium ,980, $5.00 , $350.00 ," $343,000.00 "," $20,580.00 "," $322,420.00 "," $4,900.00 "," $317,520.00 ",4/1/2014,4, April ,2014,,
Government,Germany, Montana , Medium ,1460, $5.00 , $350.00 ," $511,000.00 "," $30,660.00 "," $480,340.00 "," $7,300.00 "," $473,040.00 ",5/1/2014,5, May ,2014,,
Government,France, Montana , Medium ,1403, $5.00 , $7.00 ," $9,821.00 ", $589.26 ," $9,231.74 "," $7,015.00 "," $2,216.74 ",10/1/2013,10, October ,2013,,
Channel Partners,USA, Montana , Medium ,2723, $5.00 , $12.00 ," $32,676.00 "," $1,960.56 "," $30,715.44 "," $13,615.00 "," $17,100.44 ",11/1/2014,11, November ,2014,,
Government,France, Paseo , Medium ,1496, $10.00 , $350.00 ," $523,600.00 "," $31,416.00 "," $492,184.00 "," $14,960.00 "," $477,224.00 ",6/1/2014,6, June ,2014,,
Channel Partners,Canada, Paseo , Medium ,2299, $10.00 , $12.00 ," $27,588.00 "," $1,655.28 "," $25,932.72 "," $22,990.00 "," $2,942.72 ",10/1/2013,10, October ,2013,,
Government,USA, Paseo , Medium ,727, $10.00 , $350.00 ," $254,450.00 "," $15,267.00 "," $239,183.00 "," $7,270.00 "," $231,913.00 ",10/1/2013,10, October ,2013,,
Enterprise,Canada, Velo , Medium ,952, $120.00 , $125.00 ," $119,000.00 "," $7,140.00 "," $111,860.00 "," $114,240.00 "," $(2,380.00)",2/1/2014,2, February ,2014,,
Enterprise,USA, Velo , Medium ,2755, $120.00 , $125.00 ," $344,375.00 "," $20,662.50 "," $323,712.50 "," $330,600.00 "," $(6,887.50)",2/1/2014,2, February ,2014,,
Midmarket,Germany, Velo , Medium ,1530, $120.00 , $15.00 ," $22,950.00 "," $1,377.00 "," $21,573.00 "," $183,600.00 "," $(162,027.00)",5/1/2014,5, May ,2014,,
Government,France, Velo , Medium ,1496, $120.00 , $350.00 ," $523,600.00 "," $31,416.00 "," $492,184.00 "," $179,520.00 "," $312,664.00 ",6/1/2014,6, June ,2014,,
Government,Mexico, Velo , Medium ,1498, $120.00 , $7.00 ," $10,486.00 ", $629.16 ," $9,856.84 "," $179,760.00 "," $(169,903.16)",6/1/2014,6, June ,2014,,
Small Business,France, Velo , Medium ,1221, $120.00 , $300.00 ," $366,300.00 "," $21,978.00 "," $344,322.00 "," $146,520.00 "," $197,802.00 ",10/1/2013,10, October ,2013,,
Government,France, Velo , Medium ,2076, $120.00 , $350.00 ," $726,600.00 "," $43,596.00 "," $683,004.00 "," $249,120.00 "," $433,884.00 ",10/1/2013,10, October ,2013,,
Midmarket,Canada, VTT , Medium ,2844, $250.00 , $15.00 ," $42,660.00 "," $2,559.60 "," $40,100.40 "," $711,000.00 "," $(670,899.60)",6/1/2014,6, June ,2014,,
Government,Mexico, VTT , Medium ,1498, $250.00 , $7.00 ," $10,486.00 ", $629.16 ," $9,856.84 "," $374,500.00 "," $(364,643.16)",6/1/2014,6, June ,2014,,
